sample,arabinose,AHL,fluo,time,mean,sd
Homogenous_offsite,0.02,0.1,mKate,16.66666667,819.8819969,653.4505793
Homogenous_offsite,0.02,10,GFP,16.66666667,31732.80538,25205.22052
Homogenous_offsite,0.02,10,mKate,16.66666667,2155.812123,2018.672897
Homogenous_offsite,0.2,0,GFP,16.66666667,149630.1882,32568.19516
Homogenous_offsite,0.2,0,mKate,16.66666667,102.4814387,56.9416371
Homogenous_offsite,0.2,0.0015625,GFP,16.66666667,146866.2229,33920.69525
Homogenous_offsite,0.2,0.0015625,mKate,16.66666667,88.78688965,44.85941539
Homogenous_offsite,0.2,0.00625,GFP,16.66666667,146015.9661,35262.04523
Homogenous_offsite,0.2,0.00625,mKate,16.66666667,113.9227207,58.99284891
Homogenous_offsite,0.2,0.025,GFP,16.66666667,142153.3439,37771.64757
Homogenous_offsite,0.2,0.025,mKate,16.66666667,284.4027985,205.16215
Homogenous_offsite,0.2,0.1,GFP,16.66666667,106085.2275,44465.92061
Homogenous_offsite,0.2,0.1,mKate,16.66666667,1129.015769,998.7727053
Homogenous_offsite,0.2,10,GFP,16.66666667,30184.69598,24306.28734
Homogenous_offsite,0.2,10,mKate,16.66666667,2322.268728,2312.016637
Homogenous_onsite,0,0,GFP,16.66666667,20799.66716,1160.435804
Homogenous_onsite,0,0,mKate,16.66666667,81.4040037,20.55638547
Homogenous_onsite,0,0.0015625,GFP,16.66666667,30749.87421,10144.82779
Homogenous_onsite,0,0.0015625,mKate,16.66666667,86.53673433,16.0160758
Homogenous_onsite,0,0.00625,GFP,16.66666667,19253.30536,2803.733306
Homogenous_onsite,0,0.00625,mKate,16.66666667,98.38604972,26.73401769
Homogenous_onsite,0,0.025,GFP,16.66666667,12848.17632,426.0170219
Homogenous_onsite,0,0.025,mKate,16.66666667,241.6023226,133.9629335
Homogenous_onsite,0,0.1,GFP,16.66666667,9695.661742,1860.616558
Homogenous_onsite,0,0.1,mKate,16.66666667,1063.794878,784.4144016
Homogenous_onsite,0,10,GFP,16.66666667,7373.143458,2319.250125
Homogenous_onsite,0,10,mKate,16.66666667,2641.742494,2342.933358
Homogenous_onsite,0.0000002,0,GFP,16.66666667,19139.72218,822.524936
Homogenous_onsite,0.0000002,0,mKate,16.66666667,70.21036089,16.91842777
Homogenous_onsite,0.0000002,0.0015625,GFP,16.66666667,25185.48123,5451.383784
Homogenous_onsite,0.0000002,0.0015625,mKate,16.66666667,68.66460221,16.10590613
Homogenous_onsite,0.0000002,0.00625,GFP,16.66666667,18407.02908,2803.07815
Homogenous_onsite,0.0000002,0.00625,mKate,16.66666667,80.84231609,19.83837847
Homogenous_onsite,0.0000002,0.025,GFP,16.66666667,12891.82014,363.9134192
Homogenous_onsite,0.0000002,0.025,mKate,16.66666667,189.2288855,104.619393
Homogenous_onsite,0.0000002,0.1,GFP,16.66666667,9752.579104,1388.682869
Homogenous_onsite,0.0000002,0.1,mKate,16.66666667,924.1202686,733.4942708
Homogenous_onsite,0.0000002,10,GFP,16.66666667,7396.81154,2271.8515
Homogenous_onsite,0.0000002,10,mKate,16.66666667,2492.027388,2186.206994
Homogenous_onsite,0.000002,0,GFP,16.66666667,20018.53985,1451.886117
Homogenous_onsite,0.000002,0,mKate,16.66666667,62.49886262,11.58651641
Homogenous_onsite,0.000002,0.0015625,GFP,16.66666667,25178.51655,5252.182227
Homogenous_onsite,0.000002,0.0015625,mKate,16.66666667,69.06017017,11.64125611
Homogenous_onsite,0.000002,0.00625,GFP,16.66666667,19119.41669,2730.205404
Homogenous_onsite,0.000002,0.00625,mKate,16.66666667,73.41001073,7.868702752
Homogenous_onsite,0.000002,0.025,GFP,16.66666667,13261.0896,201.590838
Homogenous_onsite,0.000002,0.025,mKate,16.66666667,179.9595519,105.9440891
Homogenous_onsite,0.000002,0.1,GFP,16.66666667,9841.054968,1263.445192
Homogenous_onsite,0.000002,0.1,mKate,16.66666667,857.3282726,715.0680958
Homogenous_onsite,0.000002,10,GFP,16.66666667,8654.932017,3386.177768
Homogenous_onsite,0.000002,10,mKate,16.66666667,2238.160298,2179.758814
Homogenous_onsite,0.00002,0,GFP,16.66666667,34753.38049,4604.733474
Homogenous_onsite,0.00002,0,mKate,16.66666667,70.87469534,20.25111903
Homogenous_onsite,0.00002,0.0015625,GFP,16.66666667,41998.9516,11754.16487
Homogenous_onsite,0.00002,0.0015625,mKate,16.66666667,72.77564733,22.62392638
Homogenous_onsite,0.00002,0.00625,GFP,16.66666667,32695.8323,5898.611598
Homogenous_onsite,0.00002,0.00625,mKate,16.66666667,78.70219091,20.39831415
Homogenous_onsite,0.00002,0.025,GFP,16.66666667,17470.55435,1591.999148
Homogenous_onsite,0.00002,0.025,mKate,16.66666667,167.0257191,93.75337908
Homogenous_onsite,0.00002,0.1,GFP,16.66666667,10620.45412,554.8284889
Homogenous_onsite,0.00002,0.1,mKate,16.66666667,772.7284312,656.5650495
Homogenous_onsite,0.00002,10,GFP,16.66666667,8824.372865,2985.522933
Homogenous_onsite,0.00002,10,mKate,16.66666667,2207.107036,2168.11496
Homogenous_onsite,0.0002,0,GFP,16.66666667,112772.3479,11062.61154
Homogenous_onsite,0.0002,0,mKate,16.66666667,93.63875865,27.83523158
Homogenous_onsite,0.0002,0.0015625,GFP,16.66666667,112141.5351,13451.68451
Homogenous_onsite,0.0002,0.0015625,mKate,16.66666667,80.52555285,27.86082765
Homogenous_onsite,0.0002,0.00625,GFP,16.66666667,103160.6732,14638.66567
